No.,Name,Location,Hectares,bandNumber,bandName,address
6007,POKEMOUCHE 13,64 KM E OF BATHURST,151.4,5,Esgenoopetitj First Nation,"621 BAYVIEW DRIVE, BURNT CHURCH, NB, E9G 2A8"
6008,TABUSINTAC 9,40 KM NE OF CHATHAM,3268.7,5,Esgenoopetitj First Nation,"621 BAYVIEW DRIVE, BURNT CHURCH, NB, E9G 2A8"
6009,ST BASILE 10,1.6 KM E/E OF/DE EDMUNDSTON,344.6,6,Madawaska Maliseet First Nation,"1771 MAIN STREET, MADAWASKA MALISEET FIRST NAT, NB, E7C 1W9"
6027,THE BROTHERS 18,2 SMALL ISLANDS IN KENNEBECASIS BAY 2 MILES N OF ST JOHN,4.0,11,Kingsclear,"77 FRENCH VILLAGE RD, KINGSCLEAR FIRST NATION, NB, E3E 1K3"
6010,BIG HOLE TRACT 8 (SOUTH HALF),20.8 KM WEST OF/DE NEWCASTLE,1740.2,7,Eel Ground,"47 CHURCH RD, EEL GROUND, NB, E1V 4E6"
6011,EEL GROUND 2,4.8 KM WEST OF/DE NEWCASTLE,1072.8,7,Eel Ground,"47 CHURCH RD, EEL GROUND, NB, E1V 4E6"
6012,RENOUS 12,27.2 KM WEST OF/DE NEWCASTLE,10.0,7,Eel Ground,"47 CHURCH RD, EEL GROUND, NB, E1V 4E6"
6013,EEL RIVER 3,3.2 KM S/S OF/DE DALHOUSIE,122.0,8,Eel River Bar First Nation,"11 MAIN STREET, UNIT 201, EEL RIVER BAR, NB, E8C 1A1"
6066,INDIAN RANCH,2.4 KM SOUTH OF DALHOUSIE,45.7,8,Eel River Bar First Nation,"11 MAIN STREET, UNIT 201, EEL RIVER BAR, NB, E8C 1A1"
6067,MOOSE MEADOWS 4,32 KM S OF/DE DALHOUSIE,404.7,8,Eel River Bar First Nation,"11 MAIN STREET, UNIT 201, EEL RIVER BAR, NB, E8C 1A1"
6014,FORT FOLLY 1,1.6 SE/SE OF/DE DORCHESTER,56.1,9,Fort Folly,"PO BOX 1007, DORCHESTER, NB, E4K 3V5"
6015,INDIAN ISLAND 28,8 KM NE/NE OF/DE REXTON,38.4,10,Indian Island,"61 INDIAN ISLAND DRIVE, INDIAN ISLAND, NB, E4W 1S9"
6016,KINGSCLEAR 6,14 KM W/O OF/DE FREDERICTON,374.7,11,Kingsclear,"77 FRENCH VILLAGE RD, KINGSCLEAR FIRST NATION, NB, E3E 1K3"
6027,THE BROTHERS 18,2 SMALL ISLANDS IN KENNEBECASIS BAY 2 MILES N OF ST JOHN,4.0,11,Kingsclear,"77 FRENCH VILLAGE RD, KINGSCLEAR FIRST NATION, NB, E3E 1K3"
6017,OROMOCTO 26,NORTH AND ADJACENT TO GAGETOWN,100.7,12,Oromocto First Nation,"PO BOX 417, 4 HIAWATHA AVENUE, OROMOCTO, NB, E2V 2J2"
6018,PABINEAU 11,8 KM S/S OF/DE BATHURST,429.1,13,Pabineau,"1290 PABINEAU FALLS ROAD, PABINEAU FIRST NATION, NB, E2A 7M3"
6019,BIG HOLE TRACT 8 (NORTH HALF),20.8 KM WEST OF/DE NEWCASTLE,1396.2,14,Metepenagiag Mi'kmaq Nation,"PO BOX 293, METEPENAGIAG MI'KMAQ NATION, NB, E9E 2P2"
6020,INDIAN POINT 1,19.2 KM WEST OF/DE NEWCASTLE,41.2,14,Metepenagiag Mi'kmaq Nation,"PO BOX 293, METEPENAGIAG MI'KMAQ NATION, NB, E9E 2P2"
10156,METEPENAGIAG URBAN RESERVE 8,Moncton,3.6,14,Metepenagiag Mi'kmaq Nation,"PO BOX 293, METEPENAGIAG MI'KMAQ NATION, NB, E9E 2P2"
10097,METEPENAGIAG UTA'NK,"East side of Douglastown Boulevard and soth side of King George Highway, City of Miramichi",1.1,14,Metepenagiag Mi'kmaq Nation,"PO BOX 293, METEPENAGIAG MI'KMAQ NATION, NB, E9E 2P2"
6021,RED BANK 4,22.5 KM W/O OF/DE NEWCASTLE,1457.0,14,Metepenagiag Mi'kmaq Nation,"PO BOX 293, METEPENAGIAG MI'KMAQ NATION, NB, E9E 2P2"
6022,RED BANK 7,24 KM WEST OF/DE NEWCASTLE,1011.7,14,Metepenagiag Mi'kmaq Nation,"PO BOX 293, METEPENAGIAG MI'KMAQ NATION, NB, E9E 2P2"
6023,DEVON 30,6 KM E/E OF/DE FREDERICTON,125.9,15,Saint Mary's,"150 CLIFFE STREET, FREDERICTON, NB, E3A 0A1"
6024,ST. MARY'S 24,6 KM EAST OF/DE FREDERICTON,1.0,15,Saint Mary's,"150 CLIFFE STREET, FREDERICTON, NB, E3A 0A1"
6027,THE BROTHERS 18,2 SMALL ISLANDS IN KENNEBECASIS BAY 2 MILES N OF ST JOHN,4.0,11,Kingsclear,"77 FRENCH VILLAGE RD, KINGSCLEAR FIRST NATION, NB, E3E 1K3"
6026,WOODSTOCK 23,5 KM S/S OF/DE WOODSTOCK,159.8,6,Madawaska Maliseet First Nation,"1771 MAIN STREET, MADAWASKA MALISEET FIRST NAT, NB, E7C 1W9"
6028,GOLD RIVER 21,60.8 KM W OF/DE HALIFAX,270.2,18,Acadia,"10526 HIGHWAY 3, YARMOUTH, NS, B5A 4A8"
10067,HAMMONDS PLAINS,32 KM N OF HALIFAX,4.9,18,Acadia,"10526 HIGHWAY 3, YARMOUTH, NS, B5A 4A8"
6029,MEDWAY RIVER 11,108.8 KM SW OF HALIFAX,4.7,18,Acadia,"10526 HIGHWAY 3, YARMOUTH, NS, B5A 4A8"
6030,PONHOOK LAKE 10,115.2 KM SW OF/DE HALIFAX,101.8,18,Acadia,"10526 HIGHWAY 3, YARMOUTH, NS, B5A 4A8"
6031,WILDCAT 12,111 KM SW/SO OF/DE HALIFAX,465.4,18,Acadia,"10526 HIGHWAY 3, YARMOUTH, NS, B5A 4A8"
6032,YARMOUTH 33,3.2 KM E OF/DE YARMOUTH,27.7,18,Acadia,"10526 HIGHWAY 3, YARMOUTH, NS, B5A 4A8"
6035,ANNAPOLIS VALLEY FIRST NATION,88 KM NW OF/DE HALIFAX,59.0,20,Annapolis Valley,"29 TONEY BLVD, CAMBRIDGE 32, NS, B0P 1G0"
6037,ST. CROIX 34,46.4 KM NW OF/DE HALIFAX,126.2,20,Annapolis Valley,"29 TONEY BLVD, CAMBRIDGE 32, NS, B0P 1G0"
6038,BEAR RIVER 6,17.7 KM SE/SE OF/DE DIGBY,633.8,21,Bear River,"PO BOX 210, BEAR RIVER, NS, B0S 1B0"
6039,BEAR RIVER 6A,9.6 KM SE OF/DE ANNAPOLIS VALLEY,31.2,21,Bear River,"PO BOX 210, BEAR RIVER, NS, B0S 1B0"
6040,BEAR RIVER 6B,6.4 KM SE OF/DE ANNAPOLIS VALLEY,24.3,21,Bear River,"PO BOX 210, BEAR RIVER, NS, B0S 1B0"
6041,CHAPEL ISLAND 5,69 KM SW/SO OF/DE SYDNEY,592.5,22,Potlotek First Nation,"12004 Highway 4, CHAPEL ISLAND, NS, B0E 3B0"
6042,MALAGAWATCH 4,62 KM SW/SO OF/DE SYDNEY,661.3,23,Eskasoni,"PO BOX 7040, 63 MINI MALL DRIVE, ESKASONI, NS, B1W 1A6"
6043,ESKASONI 3,40 KM SW/SO OF/DE SYDNEY,3591.1,23,Eskasoni,"PO BOX 7040, 63 MINI MALL DRIVE, ESKASONI, NS, B1W 1A6"
6044,ESKASONI 3A,40 KM SW OF/DE SYDNEY,28.5,23,Eskasoni,"PO BOX 7040, 63 MINI MALL DRIVE, ESKASONI, NS, B1W 1A6"
6042,MALAGAWATCH 4,62 KM SW/SO OF/DE SYDNEY,661.3,23,Eskasoni,"PO BOX 7040, 63 MINI MALL DRIVE, ESKASONI, NS, B1W 1A6"
6047,BOAT HARBOUR WEST 37,8 KM N OF/DE NEW GLASGOW,98.2,24,Pictou Landing,"43 MAPLE STREET, RR #2 BOX 55 SITE 6, TRENTON, NS, B0K 1X0"
6048,FISHER'S GRANT 24,10 KM N/N OF/DE GLASGOW,142.7,24,Pictou Landing,"43 MAPLE STREET, RR #2 BOX 55 SITE 6, TRENTON, NS, B0K 1X0"
6049,FISHER'S GRANT 24G,3.2 KM SE OF/DE PICTOU LANDING,60.0,24,Pictou Landing,"43 MAPLE STREET, RR #2 BOX 55 SITE 6, TRENTON, NS, B0K 1X0"
6033,FRANKLIN MANOR NO.22 (PART),32 KM SE OF/DE AMHERST,212.5,19,Paqtnkek Mi'kmaw Nation,"RR 1, 7 DILLAN STREET, AFTON, NS, B0H 1A0"
6050,MERIGOMISH HARBOUR 31,12.8 KM E OF/DE NEW GLASGOW,14.2,24,Pictou Landing,"43 MAPLE STREET, RR #2 BOX 55 SITE 6, TRENTON, NS, B0K 1X0"
6054,CARIBOU MARSH 29,8 KM SW OF/DE SYDNEY,219.3,26,Membertou,"111 MEMBERTOU STREET, SYDNEY, NS, B1S 2M9"
6042,MALAGAWATCH 4,62 KM SW/SO OF/DE SYDNEY,661.3,23,Eskasoni,"PO BOX 7040, 63 MINI MALL DRIVE, ESKASONI, NS, B1W 1A6"
6056,MEMBERTOU 28B,1.6 KM S OF/DE SYDNEY,100.9,26,Membertou,"111 MEMBERTOU STREET, SYDNEY, NS, B1S 2M9"
6055,SYDNEY 28A,1.6 KM NE OF/DE SYDNEY,5.1,22,Potlotek First Nation,"12004 Highway 4, CHAPEL ISLAND, NS, B0E 3B0"
6057,BEAVER LAKE 17,78.4 KM SE OF/DE HALIFAX,49.4,27,Millbrook,"PO BOX 634, TRURO, NS, B2N 5E5"
6058,COLE HARBOUR 30,9.6 KM E OF/DE HALIFAX,18.6,27,Millbrook,"PO BOX 634, TRURO, NS, B2N 5E5"
6059,MILLBROOK 27,8 KM S/S OF/DE TRURO,302.3,27,Millbrook,"PO BOX 634, TRURO, NS, B2N 5E5"
6060,SHEET HARBOUR 36,91.2 KM NE OF/DE HALIFAX,32.7,27,Millbrook,"PO BOX 634, TRURO, NS, B2N 5E5"
6061,TRURO 27A,ADJOINS S LIMIT TRURO,16.7,27,Millbrook,"PO BOX 634, TRURO, NS, B2N 5E5"
6062,TRURO 27B,ADJOINS TRURO 27A ON S,16.4,27,Millbrook,"PO BOX 634, TRURO, NS, B2N 5E5"
6063,TRURO 27C,ADJOINS TRURO I.R. NO. 27B ON THE SOUTH,9.5,27,Millbrook,"PO BOX 634, TRURO, NS, B2N 5E5"
6068,SAMIAJIJ MIAWPUKEK,224 KM S OF/DE GANDER,2839.0,47,Miawpukek,"50 MIAWPUKEK DRIVE, PO BOX 10, CONNE RIVER, NL, A0H 1J0"
6086,VILLAGE DES HURONS WENDAKE 7,8 KM O/W OF/DE QUEBEC,133.4,50,Nation Huronne Wendat,"255, place Chef-Michel-Laveau, Wendake, QC, G0A 4V0"
6087,VILLAGE DES HURONS WENDAKE 7A,5 MI O/W OF/DE QUEBEC A LORETTEVILLE,244.6,50,Nation Huronne Wendat,"255, place Chef-Michel-Laveau, Wendake, QC, G0A 4V0"
6088,LISTUGUJ,RESTIGOUCHE QUEBEC,4344.0,51,Listuguj Mi'gmaq Government,"17, Riverside Street West, P.O. Box 298, Listuguj, QC, G0C 2R0"
6090,CACOUNA 22,"COUNTY OF TEMISCOUATA, VILLAGE OF ST. GEORGE-DE-CACOUNA, LOT 66, 193 KM NE OF QUEBEC",0.9,54,Première Nation Wolastoqiyik (Malécite) Wahsipekuk,"217, rue de la Grève, Cacouna, QC, G0L 1G0"
6091,WHITWORTH 21,180 KM NE/NE OF/DE QUEBEC,169.0,54,Première Nation Wolastoqiyik (Malécite) Wahsipekuk,"217, rue de la Grève, Cacouna, QC, G0L 1G0"
6172,ABITIBI 70,SOUTH SHORE/RIVE SUD DE/OF LAKE ABITIBI,7770.1,55,Conseil de la Première Nation Abitibiwinni,"45, Rue Migwan, Pikogan, QC, J9T 3A3"
6094,PIKOGAN,3.6 KM N/N OF/DE AMOS,274.6,233,Wahgoshig First Nation,"RR 3, MATHESON, ON, P0K 1N0"
6131,WASWANIPI,193 KM NE/NE OF/DE VAL D'OR,0.0,56,Waswanipi,"1, Chief Louis R. Gull Street, Diom Blacksmith Building, P.O. Box 8, Waswapini, QC, J0Y 3C0"
6132,EASTMAIN,JAMES BAY RIVAGE E/E SHORE,0.0,57,Eastmain,"76, Nouchimi, P.O. Box 90, Eastmain, QC, J0M 1W0"
6128,CHISASIBI,,0.0,58,Cree Nation of Chisasibi,"1, Riverside Drive, P.O. Box 150, Chisasibi, QC, J0M 1E0"
6126,NEMASKA,,0.0,59,Cree Nation of Nemaska,"32, Machishteewyaau Trail, Nemaska, QC, J0Y 3B0"
6130,WEMINDJI,"ON EAST SHORE OF JAMES BAY, ON THE MAQUATUA RIVER ADJACENT TO WEMENDJI - 326.6 SQ. KM",0.0,60,Cree Nation of Wemindji,"16 BEAVER ROAD, PO BOX 60, WEMINDJI, QC, J0M 1L0"
6129,WASKAGANISH,,0.0,61,The Crees of the Waskaganish First Nation,"70, Waskaganish Street, P.O. BOX 60, Waskaganish, QC, J0M 1R0"
6142,GRAND-LAC VICTORIA INDIAN SETTLEMENT,,0.0,62,Communauté anicinape de Kitcisakik,"5206 Kitcisakik, Val D'Or, QC, J9P 7C6"
6134,LAC SIMON,32 KM SE/SE OF/DE VAL D'OR,678.4,63,Nation Anishnabe du Lac Simon,"1026, Boulevard Cicip, CP 139, Lac Simon, QC, J0Y 3M0"
6092,TIMISKAMING,"32 KM NE/NE OF/DE COBALT, ONT.U",1852.0,64,Timiskaming First Nation,"24, Algonquin Avenue, Notre-Dame-du-Nord, QC, J0Z 3B0"
6140,KEBAOWEK,40 KM N/N OF/DE TIMISKAMING,50.6,65,Kebaowek First Nation,"110, Ogima Street, Kebaowek, QC, J0Z 3R1"
6133,WINNEWAY INDIAN SETTLEMENT,,36.8,67,Long Point First Nation,"112, Kakinwawigak Mikana, P.O. Box 1, Winneway, QC, J0Z 2J0"
6096,DONCASTER 17,"10 MI N.E. OF STE. AGATHE, TERREBONNE CO.",7900.0,70,Mohawks of Kahnawá:ke,"P.O. Box 720, Kahnawake, QC, J0L 1B0"
6097,KAHNAWAKE NO.14,8 KM SO/SW OF/DE MONTREAL,4902.0,69,Mohawks of Kanesatake,"681, Ste-Philomene Street, Kanesatake, QC, J0N 1E0"
6098,WÔLINAK 11,16 KM E/E OF/DE TROIS RIVIERES,80.4,71,Première Nation des Abénakis de Wôlinak,"10120, Rue Kolipaïo, Wôlinak, QC, G0X 1B0"
6099,ODANAK 12,24 KM E/E OF/DE SOREL,578.0,72,Odanak,"104, Rue Sibosis, Odanak, QC, J0G 1H0"
6100,KITIGAN ZIBI,O/W RIVER/BANK OF/DE RIVIERE/RIVER GATINEAU,21009.0,73,Kitigan Zibi Anishinabeg,"1, Paganakomin Mikan Street, P.O. Box 309, Maniwaki, QC, J9E 3C9"
6127,MISTISSINI,"BLOCKS A,B,&D, TWP OF DUQUET & NE CORNER OF TWP, 120KM NW OF LAC ST JEAN",0.0,75,Cree Nation of Mistissini,"187, Main Street, Mistissini, QC, G0W 1C0"
6101,MASHTEUIATSH,8 KM O/W OF/DE ROBERVAL,1522.0,76,Première Nation des Pekuakamiulnuatsh,"1671, rue Ouiatchouan, Mashteuiatsh, QC, G0W 2H0"
6103,COMMUNAUTÉ DE WEMOTACI,100 KM NM/NO OF/DE LA TUQUE,3331.0,77,Conseil des Atikamekw de Wemotaci,"36, Rue Kenosi, CP 221, Wemotaci, QC, G0X 3R0"
6102,COUCOUCACHE 24A,30 MI N.W. OF LA TUQUE ON W END OF LAC BLANC IN RIVIERE ST MAURICE,5.6,77,Conseil des Atikamekw de Wemotaci,"36, Rue Kenosi, CP 221, Wemotaci, QC, G0X 3R0"
6104,COMMUNAUTÉ ATIKAMEKW DE MANAWAN,113 KM NE/NE OF/DE MONT-LAURIER,773.0,78,Les Atikamekw de Manawan,"135, Rue Kicik, Manawan, QC, J0K 1M0"
6105,OBEDJIWAN 28,193 KM O/W OF/DE ROBERVAL,927.0,79,Atikamekw d'Opitciwan,"22, rue Amisk, CP 135, Obedjiwan, QC, G0W 3B0"
6085,KAWAWACHIKAMACH,ON MATEMACE LAKE 2 MILES NORTH OF SHEFFERVILLE 49.93 SQ. KM,0.0,81,Naskapi Nation of Kawawachikamach,"P.O. Box 5111, Kawawachikamach, QC, G0G 2Z0"
6137,MINGAN,28 KM W/O OF/DE HARVE/HARBOUR ST. PIERRE,3838.0,82,Les Innus de Ekuanitshit,"35, rue Manitou, Ekuanitshit, QC, G0G 1V0"
6109,ROMAINE 2,145 KM NE/NE OF/DE ANTICOSTI ISLAND,69.4,84,Montagnais de Unamen Shipu,"90, rue du Large, La Romaine, QC, G0G 1M0"
6110,BETSIAMITES,40 KM SE/SE OF/DE BAIE-COMEAU,25205.0,85,Bande des Innus de Pessamit,"4, rue Metshteu, CP 40, Pessamit, QC, G0H 1B0"
6111,INNUE ESSIPIT,32 KM NO/NW OF/DE RIVIERE SAGUENAY,86.5,86,Innue Essipit,"32, rue de la Réserve, CP 820, Essipit, QC, G0T 1K0"
6139,ST-AUGUSTIN INDIAN SETTLEMENT,,0.0,88,Montagnais de Pakua Shipi,"CP 178, St-Augustin-Saguenay, QC, G0G 2R0"
10014,OUJÉ-BOUGOUMOU,,0.0,89,Oujé-Bougoumou Cree Nation,"203, Opemisika Meskino Street, P.O. Box 1169, Oujé-Bougoumou, QC, G0W 3C0"
6112,WHAPMAGOOSTUI,,0.0,95,Première nation de Whapmagoostui,"P.O. Box 390, Whapmagoostui, QC, J0M 1G0"
6223,NEW CREDIT 40A,16 KM SE/SE OF/DE BRANTFORD,2392.6,120,Mississaugas of the Credit,"2789 MISSISSAUGA ROAD, RR 6, HAGERSVILLE, ON, N0A 1H0"
6224,GLEBE FARM 40B,N SHORE OF GRAND RIVER SE OF BRANTFORD NORTH OF SIX NATIONS NO. 40,41.2,244,Bay of Quinte Mohawk,
6225,SIX NATIONS 40,8 KM SE OF BRANTFORD,18278.5,248,Bearfoot Onondaga,
6219,CAPE CROKER HUNTING GROUND 60B,43 KM SE/SE OF/DE MANITOULIN ISLAND,890.3,122,Chippewas of Nawash First Nation,"135 Lakeshore Blvd, Neyaashiinigmiing, ON, N0H 2T0"
6218,NEYAASHIINIGMIING 27,WEST SHORE/RIVE OUEST OF/DE GEORGIAN BAY ON BRUCE PENINSULA,7183.3,122,Chippewas of Nawash First Nation,"135 Lakeshore Blvd, Neyaashiinigmiing, ON, N0H 2T0"
6143,SAUGEEN & CAPE CROKER FISHING ISL. 1,"89 ISLANDS IN LAKE HURON, EAST OF BRUCE PENINSULA TWPS OF ALBERMARLE, AMABEL, EASTNOR & ST. EDMUNDS",10.1,122,Chippewas of Nawash First Nation,"135 Lakeshore Blvd, Neyaashiinigmiing, ON, N0H 2T0"
6220,CHIEF'S POINT 28,EAST SHORE/RIVE EST OF/DE LAKE/LAC HURON,518.0,123,Saugeen,"6493 Hwy 21, Saugeen First Nation # 29, ON, N0H 2L0"
6143,SAUGEEN & CAPE CROKER FISHING ISL. 1,"89 ISLANDS IN LAKE HURON, EAST OF BRUCE PENINSULA TWPS OF ALBERMARLE, AMABEL, EASTNOR & ST. EDMUNDS",10.1,122,Chippewas of Nawash First Nation,"135 Lakeshore Blvd, Neyaashiinigmiing, ON, N0H 2T0"
6221,SAUGEEN 29,24 KM W/O OF/DE OWEN SOUND - EAST SHORE OF LAKE HURON SOUTH END OF BRUCE PENINSULA,3815.0,123,Saugeen,"6493 Hwy 21, Saugeen First Nation # 29, ON, N0H 2L0"
6222,SAUGEEN HUNTING GROUNDS 60A,43 KM SE/SE OF/DE MANITOULIN ISLAND NORTH OF/DE BRUCE PENINSULA,728.5,123,Saugeen,"6493 Hwy 21, Saugeen First Nation # 29, ON, N0H 2L0"
6240,AGENCY 30,AULNEAU PENINSULA IN LAKE OF THE WOODS 28 MI SOUTHERLY FROM KENORA KENORA DISTRICT,379.0,152,Animakee Wa Zhing #37,"PO BOX 1590, KENORA, ON, P9N 3X7"
9670,ASSABASKA,,1098.0,153,Anishinabe of Wauzhushk Onigum,"PO BOX 1850, KENORA, ON, P9N 3X8"
6226,BIG GRASSY RIVER 35G,77 KM SE/SE OF/DE KENORA,3615.1,125,Anishnaabeg of Naongashiing,"PO BOX 335, MORSON, ON, P0W 1J0"
6227,LAKE OF THE WOODS 35J,40 KM SW/SO OF/DE KENORA,1408.7,124,Big Grassy,"PO BOX 414, MORSON, ON, P0W 1J0"
6228,NAONGASHING 35A,SOUTH EDGE OF AULNEAU PENINSULA IN LAKE OF THE WOODS,518.0,265,Buffalo Point First Nation,"PO BOX 1037, BUFFALO POINT, MB, R0A 2W0"
6229,OBABIKONG 35B,ON SOUTHEAST EDGE OF AULNEAU PENINSULA,712.3,154,Iskatewizaagegan #39 Independent First Nation,"GENERAL DELIVERY, KEJICK, ON, P0X 1E0"
6336,AGENCY 1,IN/DANS SW/SO OF/DE RAINY LAKE,14.0,126,Couchiching First Nation,"RR 2 RMB 2027, FORT FRANCES, ON, P9A 3M3"
6241,COUCHICHING 16A,SW/SO SHORE/RIVE OF/DE RAINY LAKE,6422.5,133,Mitaanjigamiing First Nation,"PO BOX 609, FORT FRANCES, ON, P9A 3M9"
6242,NEGUAGUON LAKE 25D,200 KM NW/NO OF/DE THUNDER BAY,6214.1,127,Lac La Croix,"PO BOX 640, FORT FRANCES, ON, P9A 3M9"
6336,AGENCY 1,IN/DANS SW/SO OF/DE RAINY LAKE,14.0,126,Couchiching First Nation,"RR 2 RMB 2027, FORT FRANCES, ON, P9A 3M3"
6243,RAINY LAKE 17A,ON NORTH SHORE OF NORTHWEST BAY IN NORTH WEST RAINY LAKE,1501.8,133,Mitaanjigamiing First Nation,"PO BOX 609, FORT FRANCES, ON, P9A 3M9"
6244,RAINY LAKE 17B,8 KM W/O OF/DE RAINY LAKE ON MANONIN RIVER AND BREMNA CREEK,987.5,128,Naicatchewenin,"PO BOX 15, RR 1, DEVLIN, ON, P0W 1C0"
6336,AGENCY 1,IN/DANS SW/SO OF/DE RAINY LAKE,14.0,126,Couchiching First Nation,"RR 2 RMB 2027, FORT FRANCES, ON, P9A 3M3"
6245,RAINY LAKE 26A,ON SOUTH SHORE OF RED GUT BAY IN NORTHEAST RAINY LAKE,1909.7,133,Mitaanjigamiing First Nation,"PO BOX 609, FORT FRANCES, ON, P9A 3M9"
6246,RAINY LAKE 26B,ON SOUTH SHORE OF RED GUT BAY IN NORTHEAST RAINY LAKE,1068.4,128,Naicatchewenin,"PO BOX 15, RR 1, DEVLIN, ON, P0W 1C0"
6247,RAINY LAKE 26C,ON SOUTH SHORE OF RED GUT BAY IN NORTHEAST RAINY LAKE,1107.6,129,Nigigoonsiminikaaning First Nation,"PO BOX 68, FORT FRANCES, ON, P9A 3M5"
6146,LONG SAULT 12,TWP 4 & 5 RGE 25 & 26 EPM,3.0,130,Rainy River First Nations,"PO BOX 450, EMO, ON, P0W 1E0"
6248,MANITOU RAPIDS 11,40 KM WST OF RAINY LAKE 3 KM WEST OF EMO,2779.6,130,Rainy River First Nations,"PO BOX 450, EMO, ON, P0W 1E0"
10056,RAINY RIVER 1,,279.0,130,Rainy River First Nations,"PO BOX 450, EMO, ON, P0W 1E0"
10057,RAINY RIVER 2,,3735.1,130,Rainy River First Nations,"PO BOX 450, EMO, ON, P0W 1E0"
10058,RAINY RIVER 3,,0.6,130,Rainy River First Nations,"PO BOX 450, EMO, ON, P0W 1E0"
10059,RAINY RIVER 4,,1459.1,130,Rainy River First Nations,"PO BOX 450, EMO, ON, P0W 1E0"
6240,AGENCY 30,AULNEAU PENINSULA IN LAKE OF THE WOODS 28 MI SOUTHERLY FROM KENORA KENORA DISTRICT,379.0,152,Animakee Wa Zhing #37,"PO BOX 1590, KENORA, ON, P9N 3X7"
9670,ASSABASKA,,1098.0,153,Anishinabe of Wauzhushk Onigum,"PO BOX 1850, KENORA, ON, P9N 3X8"
6250,SABASKONG BAY 35C,35 KM SOUTH OF SIOUX NARROWS,777.0,125,Anishnaabeg of Naongashiing,"PO BOX 335, MORSON, ON, P0W 1J0"
6251,SABASKONG BAY 35D,ON EAST SHORE OF SABASKONG BAY ON EASTERN LAKE OF THE WOODS,504.0,124,Big Grassy,"PO BOX 414, MORSON, ON, P0W 1J0"
6252,SABASKONG BAY 35F,ON SOUTHEAST SHORE OF SABASKONG BAY,518.0,265,Buffalo Point First Nation,"PO BOX 1037, BUFFALO POINT, MB, R0A 2W0"
6253,SABASKONG BAY 35H,ON NORTH SHORE OF SABASKONG BAY,260.0,154,Iskatewizaagegan #39 Independent First Nation,"GENERAL DELIVERY, KEJICK, ON, P0X 1E0"
6254,SEINE RIVER 23A,64 KM E/E OF/DE RAINY LAKE ON BOTH SHORES OF WILD POTATO LAKE IN SEINE,1758.8,132,Seine River First Nation,"PO BOX 124, MINE CENTRE, ON, P0W 1H0"
6255,SEINE RIVER 23B,85 KM EAST OF FORT FRANCES,904.5,132,Seine River First Nation,"PO BOX 124, MINE CENTRE, ON, P0W 1H0"
6256,STURGEON FALLS 23,ON NORTH BANK OF SEINE RIVER 111 KM SOUTH EAST OF DRYDEN,2488.9,132,Seine River First Nation,"PO BOX 124, MINE CENTRE, ON, P0W 1H0"
6207,INDIAN RIVER,ADJACENT TO VILLAGE OF PORT CARLING ON BANK OF INDIAN RIVER,1.0,139,Chippewas of Rama First Nation,"200 - 5884 RAMA ROAD, RAMA, ON, L3V 6H6"
6206,WAHTA MOHAWK TERRITORY,14 KM E/E OF/DE GEORGIAN BAY,5991.6,134,Wahta Mohawk,"PO BOX 260, BALA, ON, P0C 1A0"
6208,MOOSE POINT 79,51 KM W/O OF/DE BRACEBRIDGE EAST SHORE OF GEORGIAN BAY,250.5,135,Moose Deer Point,"PO BOX 119, MACTIER, ON, P0C 1H0"
